# 계정 층 샤드 수 스윕. DAU=100000000 revokeRate=0.001 live=4611
# gas/level=1141 (실측), execute=332272 (실측)
shards,shard_bits,invalidation_prob,mean_reproofs,tx_miss_2min,peak_leaves,capacity_pct,top_depth,added_gas,active_shards,response_bytes,sibling_only_bytes
256,8,1.0000,18.01,0.4193,33,3.2,8,0,256,22025,1729
1024,10,0.9889,4.50,0.1269,13,1.3,10,2282,1015,86957,999
4096,12,0.6756,1.13,0.0333,7,0.7,12,4564,2764,238539,1059
16384,14,0.2453,0.28,0.0084,4,0.4,14,6846,4010,348351,1276
